BRAND,MATERIAL
Axiom,Neutron
Axiom,Proton
DGA,D-Line
DGA,SP Line
DGA,ProLine
DGA,RDGA Line
DGA,Signature Line
Discmania,D-line
Discmania,P-line
Discmania,C-line
Discmania,S-line
Discmania,G-line
Discmania,X-line
Discraft,Pro D
Discraft,Z
Discraft,ESP
Discraft,FLX
Discraft,Ti
Discraft,X
Discraft,X Soft
Discraft,Big Z
Discraft,Jawbreaker
Discraft,Cryztal
Discraft,Cryztal FLX
Discraft,Cryztal FLX Sparkle
Discraft,Cryztal Sparkle
Discraft,Glo FLX
Discraft,Ti FLX
Discraft,Z FLX
Discraft,Z Glo
Discraft,Z Lite
Discraft,CT
Discraft,SuperColor Z
Dynamic Discs,Fuzion
Dynamic Discs,Lucid
Dynamic Discs,Fluid
Dynamic Discs,Classic
Dynamic Discs,Classic Blend
Dynamic Discs,Classic Soft
Dynamic Discs,Classic Super Soft
Dynamic Discs,Moonshine
Dynamic Discs,BioFuzion
Dynamic Discs,Lucid Air
Dynamic Discs,Prime
Gateway,Soft
Gateway,Super Soft
Gateway,Super Stupid Soft
Gateway,SuperGlow
Gateway,Sure Grip
Gateway,Chalky
Gateway,Eraser
Gateway,Evolution
Gateway,Organic
Gateway,Really Freakin' Flexible
Hyzerbomb,Base
Hyzerbomb,Base Hard
Hyzerbomb,Base Soft
Hyzerbomb,Frontline
Hyzerbomb,Frontline-X
Hyzerbomb,Recon
Innova,DX
Innova,Champion
Innova,Star
Innova,GStar
Innova,Blizzard Champion
Innova,StarLite
Innova,R-Pro
Innova,Echo Star
Innova,Metal Flake
Innova,Glow
Innova,Glow Champion
Innova,Pro
Innova,KC Pro
Innova,McPro
Innova,JK Pro
Innova,Yeti Pro
Innova,Pro Line
Innova,CE
Innova,XT
Kastaplast,K1
Kastaplast,K2
Kastaplast,K3
Latitude 64,Gold
Latitude 64,Opto
Latitude 64,Opto Air
Latitude 64,Zero Hard
Latitude 64,Zero Medium
Latitude 64,Zero Soft
Latitude 64,Zero Megasoft
Latitude 64,Moonshine
Latitude 64,Frost
Latitude 64,Snow
Latitude 64,Retro
Latitude 64,Reprocessed
Latitude 64,DecoDye
Legacy,Icon
Legacy,Pinnacle
Legacy,Excel
Legacy,Gravity
Legacy,Protégé
Millennium,Sirius
Millennium,Quantum
Millennium,Millennium Standard
Millennium,DT
Millennium,ET
Millennium,Lunar ET
Millennium,Lunar SuperSoft
Millennium,M-Color
Millennium,Quantum Zero-G
Millennium,SuperSoft
MVP,Neutron
MVP,Proton
MVP,Plasma
MVP,Electron
MVP,Fission
MVP,Eclipse
Prodigy,200
Prodigy,300
Prodigy,350
Prodigy,350G
Prodigy,400
Prodigy,400G
Prodigy,400 Glow
Prodigy,750
Prodigy,Air
Vibram,X-Link Soft
Vibram,X-Link Medium
Vibram,X-Link Firm
Vibram,X-Link Glow
Vibram,X-Link Granite
Vibram,X-Link Float
Westside,VIP
Westside,Tournament
Westside,BT Soft
Westside,BT Medium
Westside,BT Hard
Westside,VIP Air
Westside,Elasto
Westside,Moonshine
Westside,Elasto Moonshine
Westside,Eco1
Westside,DecoDye
